,filename,cgpa,sgpa
343,/content/btech/found/22010304023_1800265984.html,5.64,4.73
344,/content/btech/found/20010603030_1800265591.html,7.68,7.54
345,/content/btech/found/21010101031_1800265498.html,3.60,2.50
346,/content/btech/found/22015103017_1800266017.html,4.23,4.23
347,/content/btech/found/21010401005_1800265494.html,4.92,4.92
348,/content/btech/found/22020205008_1800265903.html,7.73,7.56
349,/content/btech/found/22010505014_1800265901.html,7.65,8.15
350,/content/btech/found/20011405001_1800265775.html,7.03,5.37
351,/content/btech/found/22020301003_1800265931.html,7.18,7.00
352,/content/btech/found/20010505011_1800265219.html,6.39,6.04
353,/content/btech/found/22021005013_1800265531.html,7.29,7.29
354,/content/btech/found/21010401019_1800265931.html,5.12,5.67
355,/content/btech/found/21020603011_1800265243.html,8.46,8.46
356,/content/btech/found/20010901005_1800265814.html,5.41,4.11
357,/content/btech/found/20010501015_1800265934.html,6.48,6.13
358,/content/btech/found/23010503059_1800266016.html,7.09,7.09
359,/content/btech/found/21011403003_1800265588.html,4.60,4.00
360,/content/btech/found/21021001002_1800265931.html,7.38,7.46
361,/content/btech/found/20010305050_1800265775.html,6.79,5.67
362,/content/btech/found/20010305005_1800265775.html,7.34,5.22
363,/content/btech/found/22010203049_1800266009.html,6.83783783783784,7.84615384615385
364,/content/btech/found/22010103029_1800265479.html,0.58,0.58
365,/content/btech/found/21010101039_1800265787.html,6.67,5.79
366,/content/btech/found/21010107006_1800265914.html,4.42,4.42
367,/content/btech/found/23010104012_1800265989.html,5.52,5.52
368,/content/btech/found/20010101040_1800265267.html,8.61,8.33
369,/content/btech/found/20010101054_1800265267.html,6.92,5.54
370,/content/btech/found/21021003005_1800266013.html,8.19354838709677,8.21739130434783
371,/content/btech/found/22010205057_1800265899.html,2.63,2.63
372,/content/btech/found/21020204003_1800265984.html,5.31,5.31
373,/content/btech/found/22010501018_1800265929.html,3.35,3.21
374,/content/btech/found/22011303064_1800265587.html,5.50,5.50
375,/content/btech/found/22020901002_1800265813.html,3.31,3.04
376,/content/btech/found/20011103014_1800265591.html,7.74,7.38
377,/content/btech/found/21010301043_1800265291.html,6.21,6.21
378,/content/btech/found/21021001012_1800265331.html,7.83,7.83
379,/content/btech/found/23011203015_1800266016.html,7.00,7.00
380,/content/btech/found/20010101021_1800265814.html,5.74,5.59
381,/content/btech/found/21011403009_1800265587.html,8.00,8.00
382,/content/btech/found/22010305046_1800265530.html,4.63,4.63
383,/content/btech/found/22020401008_1800265468.html,8.19,8.19
384,/content/btech/found/21021203004_1800265284.html,8.24,8.33
385,/content/btech/found/21010603025_1800265760.html,7.62,7.62
386,/content/btech/found/21021001013_1800265267.html,4.64,3.42
387,/content/btech/found/20010104022_1800265270.html,5.56,2.88
388,/content/btech/found/20011103002_1800265591.html,8.07,7.77
389,/content/btech/found/23010406007_1800265980.html,3.48,3.48
390,/content/btech/found/20010205024_1800265550.html,7.86,7.19
391,/content/btech/found/20010101031_1800265469.html,7.07,6.46
392,/content/btech/found/20010305059_1800265775.html,8.60,8.00
393,/content/btech/found/20010603042_1800266013.html,7.58620689655172,7.78260869565217
394,/content/btech/found/21010304020_1800265292.html,7.77,7.63
395,/content/btech/found/21011103004_1800265299.html,8.63,8.42
396,/content/btech/found/22010304046_1800265516.html,5.13,5.13
397,/content/btech/found/20010505028_1800265902.html,5.86,3.92
398,/content/btech/found/20010305001_1800265905.html,8.12,8.45
399,/content/btech/found/21020701001_1800265469.html,5.89,4.04
400,/content/btech/found/21010505006_1800265773.html,6.16,5.81
401,/content/btech/found/21010301040_1800265468.html,7.31,7.35
402,/content/btech/found/22010505047_1800265901.html,4.62,5.00
403,/content/btech/found/21021503001_1800265762.html,6.97,7.22
404,/content/btech/found/20010505035_1800265275.html,4.93,4.88
405,/content/btech/found/21011201007_1800265931.html,6.91,5.13
406,/content/btech/found/20010501042_1800265267.html,3.63,1.17
407,/content/btech/found/22010305068_1800265770.html,1.7083333333,1.7083333333
408,/content/btech/found/21010901016_1800265932.html,6.60,4.35
409,/content/btech/found/22010104031_1800265984.html,5.54,5.29
410,/content/btech/found/20010301027_1800265267.html,7.56,5.92
411,/content/btech/found/20010104025_1800265817.html,7.28,5.00
412,/content/btech/found/20010401016_1800265814.html,4.67,2.85
413,/content/btech/found/21010505059_1800265771.html,4.88,4.08
414,/content/btech/found/21010101013_1800265932.html,7.52,6.83
415,/content/btech/found/20010603033_1800265589.html,7.14,7.04
416,/content/btech/found/22010203043_1800265758.html,6.92,6.17
